method,run,seed,loss,accuracy,params,arch_id,arch_json,warmstarted_values,parent_arch_id,mutation_ops,needs_distillation
lemonade_paper_search_space_i,0,0,2.2985191345214844,0.11800000071525574,16741,ss1_0S48-__1S96-__2S96-,"{""next_block_id"": 3, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 48, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}]]}",0,,,False
lemonade_paper_search_space_i,0,0,2.2129428386688232,0.1860000044107437,21925,ss1_0S48-__1S96-__2S144-,"{""next_block_id"": 4, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 48, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 144, ""skip_from"": null}]]}",17224,ss1_0S48-__1S96-__2S96-.3S96-,remove_layer_or_skip;increase_filters;replace_conv_with_sepconv,True
lemonade_paper_search_space_i,0,0,2.071622848510742,0.23800000548362732,317146,ss1_0C16-__1C128-__2C256-,"{""next_block_id"": 3, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 16, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 256, ""skip_from"": null}]]}",317949,ss1_0C64-__1C128-__2C256-,remove_layer_or_skip;prune_filters,True
lemonade_paper_search_space_i,0,0,2.048055410385132,0.23199999332427979,464858,ss1_0C16-__1C128-.3C128-__2C256-,"{""next_block_id"": 4, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 16, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}, {""block_id"": 3, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 256, ""skip_from"": null}]]}",317949,ss1_0C16-__1C128-__2C256-,insert_conv_bn_relu,False
