method,run,seed,generation,pareto_size,best_loss,best_accuracy,best_params,best_arch,smallest_params,smallest_accuracy,accepted_children
lemonade_paper_search_space_i,0,0,1,4,1.9146816730499268,0.2840000092983246,317146,ss1_0C16-__1C128-__2C256-,16741,0.20399999618530273,2
lemonade_paper_search_space_i,0,0,2,5,1.9146816730499268,0.2840000092983246,317146,ss1_0C16-__1C128-__2C256-,16741,0.20399999618530273,2
lemonade_paper_search_space_i,0,0,3,5,1.9146816730499268,0.2840000092983246,317146,ss1_0C16-__1C128-__2C256-,16741,0.20399999618530273,2
lemonade_paper_search_space_i,0,0,4,2,1.9146816730499268,0.2840000092983246,317146,ss1_0C16-__1C128-__2C256-,16605,0.26600000262260437,2
lemonade_paper_search_space_i,0,0,5,3,1.7812031507492065,0.3319999873638153,391642,ss1_0C16-__1C128-__2C320-,16605,0.26600000262260437,2
