method,run,seed,loss,accuracy,params,arch_id,arch_json,warmstarted_values,parent_arch_id,mutation_ops,needs_distillation
lemonade_paper_search_space_i,0,0,1.9146816730499268,0.2840000092983246,317146,ss1_0C16-__1C128-__2C256-,"{""next_block_id"": 3, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 16, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 256, ""skip_from"": null}]]}",317949,ss1_0C64-__1C128-__2C256-,prune_filters,True
lemonade_paper_search_space_i,0,0,1.9381974935531616,0.26600000262260437,16605,ss1_0S16-__1S40-__2S96-.3S96-,"{""next_block_id"": 4, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 16, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 40, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}]]}",17105,ss1_0S48-__1S40-__2S96-.3S96-,prune_filters,True
lemonade_paper_search_space_i,0,0,1.7812031507492065,0.3319999873638153,391642,ss1_0C16-__1C128-__2C320-,"{""next_block_id"": 3, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 16, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 320, ""skip_from"": null}]]}",317949,ss1_0C16-__1C128-__2C256-,increase_filters,False
