method,run,seed,crossover_rate,crossover_rate_final,allow_shape_mismatch_crossover,crossover_attempts,crossover_shape_match_events,crossover_shape_match_layers,crossover_shape_match_rate,crossover_shape_mismatch_events,crossover_shape_mismatch_layers,crossover_shape_mismatch_rate,final_loss,final_accuracy,final_params,final_topology,final_topology_share,most_common_topology,most_common_topology_share,first_final_topology_generation,first_majority_topology_generation,wall_seconds
svd_crossover_same_dim,24,24,0.5,,False,2840,1625,2833,0.5721830985915493,1053,1921,0.37077464788732395,0.7313612274868612,0.7944444444444444,1960,64-26-10,0.8,64-26-10,0.8,285,299,56.5885180999976
svd_crossover_same_dim,25,25,0.5,,False,2807,1674,2914,0.5963662272889205,867,1542,0.30887068044175275,0.7928899478658032,0.7611111111111111,650,64-10,0.9,64-10,0.9,1,1,56.02248349999718
svd_crossover_same_dim,26,26,0.5,,False,2872,1678,2778,0.5842618384401114,989,1636,0.34435933147632314,0.6647605630418636,0.825,1660,64-22-10,0.7,64-22-10,0.7,118,278,56.41462560000218
svd_crossover_same_dim,27,27,0.5,,False,2872,1762,3236,0.6135097493036211,1084,2002,0.3774373259052925,0.7042545500166321,0.8,2185,64-29-10,0.65,64-29-10,0.65,287,300,57.58612490000087
svd_crossover_same_dim,28,28,0.5,,False,2781,1815,3903,0.6526429341963322,1215,2521,0.4368932038834951,0.5233850778839471,0.8555555555555555,2111,64-21-23-10,0.7,64-21-23-10,0.7,235,296,61.1021585999988
svd_crossover_same_dim,29,29,0.5,,False,2806,1487,2887,0.529935851746258,998,1835,0.3556664290805417,0.7337888449220549,0.825,1810,64-24-10,0.3,64-25-10,0.6,23,25,56.52152070000011
svd_crossover_same_dim,30,30,0.5,,False,2863,1915,3882,0.6688787984631506,998,1934,0.3485853999301432,0.5616508957202313,0.8416666666666667,1585,64-21-10,0.65,64-21-10,0.65,75,290,58.54263440000068
svd_crossover_same_dim,31,31,0.5,,False,2862,1755,3226,0.6132075471698113,987,1688,0.3448637316561845,0.753981863092436,0.8055555555555556,1735,64-23-10,0.05,64-24-10,0.85,22,28,56.27450130000216
svd_crossover_same_dim,32,32,0.5,,False,2866,1764,2562,0.6154919748778785,777,1227,0.2711095603628751,0.9842245951092723,0.6972222222222222,2410,64-32-10,0.85,64-32-10,0.85,282,299,52.44461479999882
svd_crossover_same_dim,33,33,0.5,,False,2846,1922,4020,0.6753338018271258,1133,2344,0.39810260014054816,0.664777881386062,0.7916666666666666,650,64-10,0.95,64-10,0.95,1,1,60.22537800000282
