method,run,seed,generation,best_loss,best_accuracy,best_params,best_topology,most_common_topology,most_common_topology_share,unique_topologies,final_topology_share
svd_crossover_same_dim,0,0,1,2.354423702708034,0.08611111111111111,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,2,2.2851469836272713,0.1638888888888889,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,3,2.280834835508013,0.16944444444444445,650,64-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,4,2.280834835508013,0.16944444444444445,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,5,2.2472388382547717,0.2111111111111111,650,64-10,64-10,0.8,2,0.8
svd_crossover_same_dim,0,0,6,2.2472388382547717,0.2111111111111111,650,64-10,64-10,0.85,2,0.85
svd_crossover_same_dim,0,0,7,2.2306773281099685,0.225,650,64-10,64-10,0.8,2,0.8
svd_crossover_same_dim,0,0,8,2.2306773281099685,0.225,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,9,2.2230738960482324,0.23333333333333334,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,10,2.2230738960482324,0.23333333333333334,650,64-10,64-10,0.85,4,0.85
svd_crossover_same_dim,0,0,11,2.197199055611956,0.24166666666666667,3471,64-37-22-10,64-10,0.85,4,0.85
svd_crossover_same_dim,0,0,12,2.1927020692412706,0.24722222222222223,3471,64-37-22-10,64-10,0.7,3,0.7
svd_crossover_same_dim,0,0,13,2.193325215978074,0.24722222222222223,1660,64-22-10,64-10,0.4,5,0.4
svd_crossover_same_dim,0,0,14,2.1845715474405503,0.24722222222222223,2785,64-37-10,64-37-22-10,0.35,6,0.15
svd_crossover_same_dim,0,0,15,2.1813961598123957,0.24722222222222223,1660,64-22-10,64-37-10,0.45,5,0.15
svd_crossover_same_dim,0,0,16,2.1653373676809013,0.23055555555555557,2785,64-37-10,64-37-10,0.65,4,0.05
svd_crossover_same_dim,0,0,17,2.113108793187441,0.24444444444444444,2785,64-37-10,64-37-10,0.65,3,0.0
svd_crossover_same_dim,0,0,18,2.0935725305886685,0.23333333333333334,2785,64-37-10,64-37-10,0.75,4,0.0
svd_crossover_same_dim,0,0,19,2.076433321228561,0.25833333333333336,2785,64-37-10,64-37-10,0.5,5,0.0
svd_crossover_same_dim,0,0,20,2.0698625734431126,0.2611111111111111,2785,64-37-10,64-37-10,0.55,5,0.0
svd_crossover_same_dim,0,0,21,2.0633940460691607,0.2611111111111111,2785,64-37-10,64-37-10,0.5,6,0.05
svd_crossover_same_dim,0,0,22,2.0520577968868494,0.25833333333333336,2785,64-37-10,64-37-10,0.7,4,0.05
svd_crossover_same_dim,0,0,23,2.046460598071058,0.24166666666666667,2710,64-36-10,64-37-10,0.75,4,0.1
svd_crossover_same_dim,0,0,24,1.947171553042265,0.33611111111111114,2785,64-37-10,64-37-10,0.5,3,0.3
svd_crossover_same_dim,0,0,25,1.947171553042265,0.33611111111111114,2785,64-37-10,64-37-10,0.55,4,0.25
svd_crossover_same_dim,0,0,26,1.947171553042265,0.33611111111111114,2785,64-37-10,64-37-10,0.55,4,0.05
svd_crossover_same_dim,0,0,27,1.941554475098941,0.3388888888888889,2785,64-37-10,64-37-10,0.5,6,0.0
svd_crossover_same_dim,0,0,28,1.9401363962979221,0.3388888888888889,650,64-10,64-37-10,0.4,6,0.1
svd_crossover_same_dim,0,0,29,1.9321619193932564,0.3527777777777778,650,64-10,64-10,0.4,4,0.4
svd_crossover_same_dim,0,0,30,1.9247756637601858,0.3472222222222222,3656,64-38-24-10,64-10,0.5,4,0.5
svd_crossover_same_dim,0,0,31,1.924489419865067,0.3527777777777778,2785,64-37-10,64-10,0.5,6,0.5
svd_crossover_same_dim,0,0,32,1.9124006325101384,0.35,3656,64-38-24-10,64-38-24-10,0.3,7,0.3
svd_crossover_same_dim,0,0,33,1.8983951176695648,0.3638888888888889,3615,64-37-25-10,64-38-24-10,0.3,10,0.05
svd_crossover_same_dim,0,0,34,1.9005338003481265,0.35833333333333334,1810,64-24-10,64-37-10,0.3,8,0.0
svd_crossover_same_dim,0,0,35,1.8949010356036493,0.3527777777777778,1810,64-24-10,64-36-10,0.25,9,0.0
svd_crossover_same_dim,0,0,36,1.8949010356036493,0.3527777777777778,1810,64-24-10,64-24-10,0.55,6,0.0
svd_crossover_same_dim,0,0,37,1.8840486095759723,0.35555555555555557,1810,64-24-10,64-24-10,0.7,4,0.0
svd_crossover_same_dim,0,0,38,1.8749011967669136,0.35555555555555557,1810,64-24-10,64-24-10,0.7,4,0.05
svd_crossover_same_dim,0,0,39,1.8749011967669136,0.35555555555555557,1810,64-24-10,64-24-10,0.75,3,0.2
svd_crossover_same_dim,0,0,40,1.830595253973065,0.33611111111111114,1810,64-24-10,64-24-10,0.8,4,0.1
svd_crossover_same_dim,0,0,41,1.823619409249009,0.3416666666666667,1810,64-24-10,64-24-10,0.75,4,0.15
svd_crossover_same_dim,0,0,42,1.795983028527715,0.375,1810,64-24-10,64-24-10,0.55,4,0.3
svd_crossover_same_dim,0,0,43,1.790317037462437,0.37777777777777777,1810,64-24-10,64-24-10,0.75,4,0.15
svd_crossover_same_dim,0,0,44,1.7847732240230143,0.37777777777777777,1810,64-24-10,64-24-10,0.7,4,0.1
svd_crossover_same_dim,0,0,45,1.7847732240230143,0.37777777777777777,1810,64-24-10,64-24-10,0.8,4,0.0
svd_crossover_same_dim,0,0,46,1.7738158365729482,0.38333333333333336,1810,64-24-10,64-24-10,0.7,4,0.0
svd_crossover_same_dim,0,0,47,1.7593083382005383,0.41944444444444445,1810,64-24-10,64-24-10,0.9,2,0.0
svd_crossover_same_dim,0,0,48,1.7593083382005383,0.41944444444444445,1810,64-24-10,64-24-10,0.95,2,0.0
svd_crossover_same_dim,0,0,49,1.7537081248808977,0.4166666666666667,1810,64-24-10,64-24-10,0.95,2,0.0
svd_crossover_same_dim,0,0,50,1.748307264984739,0.41388888888888886,650,64-10,64-24-10,0.7,4,0.1
svd_crossover_same_dim,0,0,51,1.7447273050664645,0.41944444444444445,1810,64-24-10,64-24-10,0.8,3,0.05
svd_crossover_same_dim,0,0,52,1.7447273050664645,0.41944444444444445,1810,64-24-10,64-24-10,0.8,2,0.2
svd_crossover_same_dim,0,0,53,1.7344151920611741,0.425,1810,64-24-10,64-24-10,0.9,3,0.0
svd_crossover_same_dim,0,0,54,1.7344151920611741,0.425,1810,64-24-10,64-24-10,1.0,1,0.0
svd_crossover_same_dim,0,0,55,1.7249743466931726,0.4305555555555556,1810,64-24-10,64-24-10,0.95,2,0.0
svd_crossover_same_dim,0,0,56,1.7216513034258454,0.4305555555555556,1735,64-23-10,64-24-10,0.9,2,0.0
svd_crossover_same_dim,0,0,57,1.7147811959577903,0.42777777777777776,1810,64-24-10,64-24-10,0.5,4,0.0
svd_crossover_same_dim,0,0,58,1.7138133442658763,0.42777777777777776,1660,64-22-10,64-24-10,0.6,4,0.05
svd_crossover_same_dim,0,0,59,1.7138133442658763,0.42777777777777776,1660,64-22-10,64-23-10,0.45,3,0.0
svd_crossover_same_dim,0,0,60,1.7024840811748292,0.4361111111111111,1660,64-22-10,64-23-10,0.45,3,0.0
svd_crossover_same_dim,0,0,61,1.7024840811748292,0.4361111111111111,1660,64-22-10,64-23-10,0.6,5,0.05
svd_crossover_same_dim,0,0,62,1.6839284607974867,0.4527777777777778,650,64-10,64-23-10,0.65,4,0.1
svd_crossover_same_dim,0,0,63,1.6839284607974867,0.4527777777777778,650,64-10,64-23-10,0.45,4,0.25
svd_crossover_same_dim,0,0,64,1.6839284607974867,0.4527777777777778,650,64-10,64-23-10,0.45,3,0.3
svd_crossover_same_dim,0,0,65,1.6839284607974867,0.4527777777777778,650,64-10,64-10,0.55,3,0.55
svd_crossover_same_dim,0,0,66,1.6740333407095143,0.46111111111111114,650,64-10,64-10,0.85,3,0.85
svd_crossover_same_dim,0,0,67,1.6740333407095143,0.46111111111111114,650,64-10,64-10,0.8,4,0.8
svd_crossover_same_dim,0,0,68,1.6613511286940725,0.4527777777777778,1660,64-22-10,64-10,0.7,4,0.7
svd_crossover_same_dim,0,0,69,1.6613511286940725,0.4527777777777778,1660,64-22-10,64-10,0.35,5,0.35
svd_crossover_same_dim,0,0,70,1.6519442002357234,0.45555555555555555,1660,64-22-10,64-23-10,0.45,5,0.15
svd_crossover_same_dim,0,0,71,1.6519442002357234,0.45555555555555555,1660,64-22-10,64-22-10,0.45,3,0.15
svd_crossover_same_dim,0,0,72,1.6435330300198074,0.4305555555555556,1585,64-21-10,64-22-10,0.75,3,0.0
svd_crossover_same_dim,0,0,73,1.6143286684631,0.49722222222222223,1585,64-21-10,64-22-10,0.5,3,0.0
svd_crossover_same_dim,0,0,74,1.6143286684631,0.49722222222222223,1585,64-21-10,64-21-10,0.55,5,0.05
svd_crossover_same_dim,0,0,75,1.6031507701692684,0.4722222222222222,1585,64-21-10,64-21-10,0.5,5,0.1
svd_crossover_same_dim,0,0,76,1.5924340411939577,0.46944444444444444,1585,64-21-10,64-21-10,0.5,5,0.1
svd_crossover_same_dim,0,0,77,1.5835049253341171,0.475,3853,64-42-21-10,64-21-10,0.75,5,0.1
svd_crossover_same_dim,0,0,78,1.5736235240827037,0.5,1585,64-21-10,64-21-10,0.55,4,0.15
svd_crossover_same_dim,0,0,79,1.5736235240827037,0.5,1585,64-21-10,64-21-10,0.3,7,0.25
svd_crossover_same_dim,0,0,80,1.5641066782917437,0.5,1585,64-21-10,64-21-10,0.45,5,0.2
svd_crossover_same_dim,0,0,81,1.5641066782917437,0.5,1585,64-21-10,64-21-10,0.35,6,0.1
svd_crossover_same_dim,0,0,82,1.5548808698811447,0.5,1585,64-21-10,64-21-10,0.25,8,0.1
svd_crossover_same_dim,0,0,83,1.5548808698811447,0.5,1585,64-21-10,64-22-10,0.45,5,0.05
svd_crossover_same_dim,0,0,84,1.5548808698811447,0.5,1585,64-21-10,64-22-10,0.5,4,0.0
svd_crossover_same_dim,0,0,85,1.5413546224895647,0.5361111111111111,1510,64-20-10,64-21-10,0.75,4,0.05
svd_crossover_same_dim,0,0,86,1.5413546224895647,0.5361111111111111,1510,64-20-10,64-21-10,0.85,3,0.0
svd_crossover_same_dim,0,0,87,1.5225826719831603,0.5222222222222223,1435,64-19-10,64-21-10,0.6,4,0.0
svd_crossover_same_dim,0,0,88,1.5225826719831603,0.5222222222222223,1435,64-19-10,64-21-10,0.65,6,0.1
svd_crossover_same_dim,0,0,89,1.5225826719831603,0.5222222222222223,1435,64-19-10,64-21-10,0.55,6,0.05
svd_crossover_same_dim,0,0,90,1.51300206797202,0.5222222222222223,1360,64-18-10,64-21-10,0.6,6,0.05
svd_crossover_same_dim,0,0,91,1.51300206797202,0.5222222222222223,1360,64-18-10,64-19-10,0.3,6,0.1
svd_crossover_same_dim,0,0,92,1.5038179472936046,0.525,1360,64-18-10,64-19-10,0.45,8,0.05
svd_crossover_same_dim,0,0,93,1.5038179472936046,0.525,1360,64-18-10,64-19-10,0.4,6,0.05
svd_crossover_same_dim,0,0,94,1.5038179472936046,0.525,1360,64-18-10,64-18-10,0.4,7,0.05
svd_crossover_same_dim,0,0,95,1.4913977005380983,0.5305555555555556,1360,64-18-10,64-18-10,0.5,6,0.15
svd_crossover_same_dim,0,0,96,1.494867548285671,0.525,1285,64-17-10,64-18-10,0.5,6,0.0
svd_crossover_same_dim,0,0,97,1.4833947310820248,0.5388888888888889,1360,64-18-10,64-18-10,0.7,4,0.05
svd_crossover_same_dim,0,0,98,1.4833947310820248,0.5388888888888889,1360,64-18-10,64-18-10,0.75,4,0.05
svd_crossover_same_dim,0,0,99,1.4833947310820248,0.5388888888888889,1360,64-18-10,64-18-10,0.85,4,0.05
svd_crossover_same_dim,0,0,100,1.4725471590385206,0.5388888888888889,1360,64-18-10,64-18-10,0.85,4,0.05
svd_crossover_same_dim,0,0,101,1.4725471590385206,0.5388888888888889,1360,64-18-10,64-18-10,0.95,2,0.0
svd_crossover_same_dim,0,0,102,1.461481927308918,0.5638888888888889,1285,64-17-10,64-18-10,0.75,5,0.05
svd_crossover_same_dim,0,0,103,1.461481927308918,0.5638888888888889,1285,64-17-10,64-18-10,0.85,2,0.0
svd_crossover_same_dim,0,0,104,1.461481927308918,0.5638888888888889,1285,64-17-10,64-18-10,0.85,3,0.0
svd_crossover_same_dim,0,0,105,1.461481927308918,0.5638888888888889,1285,64-17-10,64-18-10,0.9,3,0.0
svd_crossover_same_dim,0,0,106,1.4542490827423384,0.5416666666666666,1360,64-18-10,64-18-10,0.6,5,0.15
svd_crossover_same_dim,0,0,107,1.4534485872366645,0.5666666666666667,1210,64-16-10,64-18-10,0.5,5,0.2
svd_crossover_same_dim,0,0,108,1.4534485872366645,0.5666666666666667,1210,64-16-10,64-18-10,0.55,5,0.0
svd_crossover_same_dim,0,0,109,1.441199779039296,0.5277777777777778,1285,64-17-10,64-18-10,0.55,5,0.0
svd_crossover_same_dim,0,0,110,1.441199779039296,0.5277777777777778,1285,64-17-10,64-18-10,0.4,5,0.0
svd_crossover_same_dim,0,0,111,1.431412821439295,0.5333333333333333,1285,64-17-10,64-17-10,0.75,4,0.0
svd_crossover_same_dim,0,0,112,1.431412821439295,0.5333333333333333,1285,64-17-10,64-17-10,0.75,6,0.05
svd_crossover_same_dim,0,0,113,1.42263312486229,0.5333333333333333,1285,64-17-10,64-17-10,0.65,4,0.1
svd_crossover_same_dim,0,0,114,1.4247648123201846,0.5555555555555556,650,64-10,64-17-10,0.75,4,0.15
svd_crossover_same_dim,0,0,115,1.4125883703476108,0.5416666666666666,1285,64-17-10,64-17-10,0.65,4,0.15
svd_crossover_same_dim,0,0,116,1.4125883703476108,0.5416666666666666,1285,64-17-10,64-17-10,0.8,4,0.0
svd_crossover_same_dim,0,0,117,1.4125883703476108,0.5416666666666666,1285,64-17-10,64-17-10,0.8,3,0.0
svd_crossover_same_dim,0,0,118,1.4016956838738435,0.5444444444444444,1285,64-17-10,64-17-10,0.8,4,0.1
svd_crossover_same_dim,0,0,119,1.3982896718264064,0.5444444444444444,1210,64-16-10,64-17-10,0.9,3,0.0
svd_crossover_same_dim,0,0,120,1.394527137592227,0.5472222222222223,1210,64-16-10,64-17-10,0.8,3,0.05
svd_crossover_same_dim,0,0,121,1.394527137592227,0.5472222222222223,1210,64-16-10,64-17-10,0.5,5,0.1
svd_crossover_same_dim,0,0,122,1.3786366103524483,0.5555555555555556,3477,64-40-17-10,64-16-10,0.4,7,0.05
svd_crossover_same_dim,0,0,123,1.381578056344082,0.5861111111111111,1135,64-15-10,64-16-10,0.4,5,0.1
svd_crossover_same_dim,0,0,124,1.374007126868617,0.5527777777777778,3477,64-40-17-10,64-16-10,0.3,5,0.15
svd_crossover_same_dim,0,0,125,1.3736294418901323,0.5861111111111111,1135,64-15-10,64-17-10,0.25,7,0.15
svd_crossover_same_dim,0,0,126,1.3649783361029177,0.5611111111111111,3477,64-40-17-10,64-17-10,0.35,8,0.05
svd_crossover_same_dim,0,0,127,1.3637923693562959,0.5944444444444444,3295,64-39-15-10,64-17-10,0.3,8,0.0
svd_crossover_same_dim,0,0,128,1.3619116499534176,0.5944444444444444,1135,64-15-10,64-39-15-10,0.35,8,0.05
svd_crossover_same_dim,0,0,129,1.3543794941777718,0.5916666666666667,3295,64-39-15-10,64-39-15-10,0.35,9,0.0
svd_crossover_same_dim,0,0,130,1.3548031062230428,0.5916666666666667,1135,64-15-10,64-39-15-10,0.2,9,0.05
svd_crossover_same_dim,0,0,131,1.3447193726593256,0.5666666666666667,3395,64-39-17-10,64-39-15-10,0.25,8,0.0
svd_crossover_same_dim,0,0,132,1.3177343609985102,0.5833333333333334,3313,64-38-17-10,64-15-10,0.25,7,0.0
svd_crossover_same_dim,0,0,133,1.3177343609985102,0.5833333333333334,3313,64-38-17-10,64-15-10,0.45,6,0.0
svd_crossover_same_dim,0,0,134,1.3177343609985102,0.5833333333333334,3313,64-38-17-10,64-15-10,0.5,7,0.0
svd_crossover_same_dim,0,0,135,1.3134614809325547,0.5861111111111111,3313,64-38-17-10,64-15-10,0.4,7,0.0
svd_crossover_same_dim,0,0,136,1.3134614809325547,0.5861111111111111,3313,64-38-17-10,64-15-10,0.45,7,0.0
svd_crossover_same_dim,0,0,137,1.3049597293710602,0.5888888888888889,3313,64-38-17-10,64-38-17-10,0.3,11,0.0
svd_crossover_same_dim,0,0,138,1.3034047466507555,0.5861111111111111,1285,64-17-10,64-38-17-10,0.5,7,0.0
svd_crossover_same_dim,0,0,139,1.3034047466507555,0.5861111111111111,1285,64-17-10,64-38-18-10,0.3,8,0.05
svd_crossover_same_dim,0,0,140,1.292508363168076,0.5916666666666667,3313,64-38-17-10,64-38-10,0.3,7,0.05
svd_crossover_same_dim,0,0,141,1.261807238126795,0.5722222222222222,3279,64-37-18-10,64-38-17-10,0.25,8,0.0
svd_crossover_same_dim,0,0,142,1.25286280742516,0.5722222222222222,3279,64-37-18-10,64-38-17-10,0.25,10,0.0
svd_crossover_same_dim,0,0,143,1.2515215945379157,0.5888888888888889,1360,64-18-10,64-37-18-10,0.4,8,0.0
svd_crossover_same_dim,0,0,144,1.241748886952303,0.5777777777777777,3196,64-36-18-10,64-37-18-10,0.35,8,0.0
svd_crossover_same_dim,0,0,145,1.2442898592888907,0.6,1360,64-18-10,64-18-10,0.4,5,0.0
svd_crossover_same_dim,0,0,146,1.234486226460447,0.5833333333333334,2710,64-36-10,64-18-10,0.3,10,0.0
svd_crossover_same_dim,0,0,147,1.234486226460447,0.5833333333333334,2710,64-36-10,64-18-10,0.25,10,0.05
svd_crossover_same_dim,0,0,148,1.2234012334149604,0.6,3030,64-34-18-10,64-35-18-10,0.2,12,0.05
svd_crossover_same_dim,0,0,149,1.1998645424314647,0.6361111111111111,3030,64-34-18-10,64-18-10,0.3,7,0.0
svd_crossover_same_dim,0,0,150,1.1914193120778251,0.6361111111111111,2560,64-34-10,64-34-18-10,0.4,8,0.0
svd_crossover_same_dim,0,0,151,1.1848148853602103,0.6333333333333333,2560,64-34-10,64-34-18-10,0.4,7,0.0
svd_crossover_same_dim,0,0,152,1.1848148853602103,0.6333333333333333,2560,64-34-10,64-33-18-10,0.45,7,0.0
svd_crossover_same_dim,0,0,153,1.1727897991729233,0.6333333333333333,2947,64-33-18-10,64-34-10,0.45,8,0.0
svd_crossover_same_dim,0,0,154,1.1709039923914208,0.6333333333333333,2485,64-33-10,64-34-10,0.35,8,0.05
svd_crossover_same_dim,0,0,155,1.1709039923914208,0.6333333333333333,2485,64-33-10,64-33-10,0.3,8,0.0
svd_crossover_same_dim,0,0,156,1.1646737220192809,0.6361111111111111,2485,64-33-10,64-33-10,0.3,8,0.0
svd_crossover_same_dim,0,0,157,1.1646737220192809,0.6361111111111111,2485,64-33-10,64-33-10,0.35,6,0.0
svd_crossover_same_dim,0,0,158,1.1646737220192809,0.6361111111111111,2485,64-33-10,64-33-10,0.25,8,0.0
svd_crossover_same_dim,0,0,159,1.154821165552883,0.6277777777777778,2947,64-33-18-10,64-33-10,0.55,7,0.05
svd_crossover_same_dim,0,0,160,1.1526811480782129,0.6277777777777778,2410,64-32-10,64-33-10,0.55,5,0.0
svd_crossover_same_dim,0,0,161,1.1526811480782129,0.6277777777777778,2410,64-32-10,64-33-10,0.4,7,0.05
svd_crossover_same_dim,0,0,162,1.1444422313403282,0.6333333333333333,2485,64-33-10,64-33-10,0.55,5,0.0
svd_crossover_same_dim,0,0,163,1.143790654680026,0.6305555555555555,2410,64-32-10,64-33-10,0.55,6,0.05
svd_crossover_same_dim,0,0,164,1.143790654680026,0.6305555555555555,2410,64-32-10,64-33-10,0.6,3,0.0
svd_crossover_same_dim,0,0,165,1.1336915408685788,0.6333333333333333,2485,64-33-10,64-32-10,0.6,4,0.05
svd_crossover_same_dim,0,0,166,1.1305320172344577,0.6444444444444445,2410,64-32-10,64-32-10,0.55,5,0.2
svd_crossover_same_dim,0,0,167,1.1305320172344577,0.6444444444444445,2410,64-32-10,64-32-10,0.35,5,0.2
svd_crossover_same_dim,0,0,168,1.1226468804159124,0.6416666666666667,2410,64-32-10,64-32-10,0.4,5,0.1
svd_crossover_same_dim,0,0,169,1.1226468804159124,0.6416666666666667,2410,64-32-10,64-32-10,0.4,7,0.05
svd_crossover_same_dim,0,0,170,1.1200387613593574,0.6416666666666667,2335,64-31-10,64-32-10,0.4,9,0.1
