method,run,seed,loss,accuracy,params,arch_id,arch_json,warmstarted_values,parent_arch_id,mutation_ops,needs_distillation
lemonade_paper_search_space_i,0,0,1.7368566989898682,0.35600000619888306,13370,ss1_0C32-__1S16-.3S64-__2S128-,"{""next_block_id"": 4, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 16, ""skip_from"": null}, {""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 64, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 128, ""skip_from"": null}]]}",4286,ss1_0C32-__1C16-.3S64-__2C128-,replace_conv_with_sepconv;replace_conv_with_sepconv,True
lemonade_paper_search_space_i,0,0,1.5173689126968384,0.44600000977516174,48618,ss1_0C32-__1C32-__2C128-,"{""next_block_id"": 4, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}]]}",49005,ss1_0C32-__1C32-.3S80-__2C128-,remove_layer_or_skip,True
lemonade_paper_search_space_i,0,0,1.557226538658142,0.44600000977516174,35002,ss1_0C32-__1C32-.4C32-.3S80-__2S128-,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}, {""block_id"": 4, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}, {""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 80, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 128, ""skip_from"": null}]]}",15310,ss1_0C32-__1C32-.3S80-__2C128-,insert_conv_bn_relu;replace_conv_with_sepconv,True
lemonade_paper_search_space_i,0,0,1.5123989582061768,0.4519999921321869,57898,ss1_0C32-.4C32-__1C32-__2C128-,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}, {""block_id"": 4, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}]]}",49005,ss1_0C32-__1C32-__2C128-,insert_conv_bn_relu,False
lemonade_paper_search_space_i,0,0,1.4535683393478394,0.4819999933242798,67178,ss1_0C32-.5C32-.4C32-__1C32-__2C128-,"{""next_block_id"": 7, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}, {""block_id"": 5, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}, {""block_id"": 4, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}]]}",58350,ss1_0C32-.4C32-__1C32-__2C128-,insert_conv_bn_relu;insert_conv_bn_relu;remove_layer_or_skip,True
