method,run,seed,generation,best_loss,best_accuracy,best_params,best_topology,most_common_topology,most_common_topology_share,unique_topologies,final_topology_share
svd_crossover_same_dim,0,0,50,2.0335160862984627,0.31666666666666665,650,64-10,64-10,0.85,2,0.85
svd_crossover_same_dim,0,0,51,2.0247220440754936,0.31666666666666665,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,52,2.0247220440754936,0.31666666666666665,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,53,2.0247220440754936,0.31666666666666665,650,64-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,54,2.0247220440754936,0.31666666666666665,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,55,2.0147003711297966,0.32222222222222224,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,56,2.0147003711297966,0.32222222222222224,650,64-10,64-10,0.8,2,0.8
svd_crossover_same_dim,0,0,57,2.003761311343461,0.3277777777777778,2785,64-37-10,64-10,0.85,2,0.85
svd_crossover_same_dim,0,0,58,2.0042369254858494,0.33055555555555555,650,64-10,64-10,0.75,3,0.75
svd_crossover_same_dim,0,0,59,1.9912697634068541,0.3333333333333333,2785,64-37-10,64-10,0.45,3,0.45
svd_crossover_same_dim,0,0,60,1.9757357032562435,0.36666666666666664,3558,64-38-22-10,64-10,0.6,5,0.6
svd_crossover_same_dim,0,0,61,1.9703697635423114,0.36666666666666664,2860,64-38-10,64-10,0.65,6,0.65
svd_crossover_same_dim,0,0,62,1.9747106795157745,0.3388888888888889,2785,64-37-10,64-10,0.45,8,0.45
svd_crossover_same_dim,0,0,63,1.9648760838779984,0.37222222222222223,2860,64-38-10,64-38-10,0.4,5,0.25
svd_crossover_same_dim,0,0,64,1.9641966799288793,0.34444444444444444,2785,64-37-10,64-38-10,0.7,4,0.05
svd_crossover_same_dim,0,0,65,1.9541904549084848,0.38055555555555554,2860,64-38-10,64-38-10,0.5,4,0.0
svd_crossover_same_dim,0,0,66,1.9541904549084848,0.38055555555555554,2860,64-38-10,64-38-10,0.75,4,0.0
svd_crossover_same_dim,0,0,67,1.9437978225249162,0.3861111111111111,2860,64-38-10,64-38-10,0.8,4,0.0
svd_crossover_same_dim,0,0,68,1.9429676700119072,0.4,2785,64-37-10,64-38-10,0.9,3,0.0
svd_crossover_same_dim,0,0,69,1.9202089820647334,0.38333333333333336,650,64-10,64-38-10,0.75,3,0.1
svd_crossover_same_dim,0,0,70,1.9202089820647334,0.38333333333333336,650,64-10,64-38-10,0.55,4,0.3
svd_crossover_same_dim,0,0,71,1.9202089820647334,0.38333333333333336,650,64-10,64-10,0.55,3,0.55
svd_crossover_same_dim,0,0,72,1.9202089820647334,0.38333333333333336,650,64-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,73,1.9132267000462053,0.37222222222222223,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,74,1.9022027272554611,0.39444444444444443,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,75,1.9022027272554611,0.39444444444444443,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,76,1.8886928065788662,0.43333333333333335,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,77,1.8817356781341168,0.45555555555555555,650,64-10,64-10,0.85,2,0.85
svd_crossover_same_dim,0,0,78,1.8748639432996133,0.4527777777777778,650,64-10,64-10,0.8,3,0.8
svd_crossover_same_dim,0,0,79,1.8748639432996133,0.4527777777777778,650,64-10,64-10,0.6,3,0.6
svd_crossover_same_dim,0,0,80,1.864919695598835,0.4361111111111111,2785,64-37-10,64-10,0.55,3,0.55
svd_crossover_same_dim,0,0,81,1.864919695598835,0.4361111111111111,2785,64-37-10,64-37-10,0.85,2,0.15
