method,run,seed,crossover_rate,crossover_rate_final,allow_shape_mismatch_crossover,crossover_attempts,crossover_shape_match_events,crossover_shape_match_layers,crossover_shape_match_rate,crossover_shape_mismatch_events,crossover_shape_mismatch_layers,crossover_shape_mismatch_rate,final_loss,final_accuracy,final_params,final_topology,final_topology_share,most_common_topology,most_common_topology_share,first_final_topology_generation,first_majority_topology_generation,wall_seconds
svd_crossover_same_dim,0,0,1.0,,False,5700,3284,5135,0.576140350877193,1847,2931,0.32403508771929823,1.010846994711038,0.6972222222222222,650,64-10,0.15,64-35-10,0.55,1,1,57.849531200001366
svd_crossover_same_dim,1,1,1.0,,False,5700,3408,6276,0.5978947368421053,1948,3490,0.34175438596491226,0.6208651078360652,0.8138888888888889,2560,64-34-10,0.15,64-35-10,0.4,63,64,59.27418030000263
svd_crossover_same_dim,2,2,1.0,,False,5700,3494,6711,0.6129824561403509,1815,3253,0.31842105263157894,0.6236788739782152,0.8111111111111111,2260,64-30-10,0.15,64-31-10,0.6,249,266,59.775647900001786
svd_crossover_same_dim,3,3,1.0,,False,5700,3611,6829,0.6335087719298246,1702,3107,0.2985964912280702,0.7441911061811824,0.75,1360,64-18-10,0.45,64-17-10,0.5,158,200,57.87180200000148
svd_crossover_same_dim,4,4,1.0,,False,5700,3380,6417,0.5929824561403508,2115,3675,0.37105263157894736,0.6621346195318035,0.7916666666666666,2560,64-34-10,0.9,64-34-10,0.9,32,50,60.54962290000549
svd_crossover_same_dim,5,5,1.0,,False,5700,3609,6841,0.6331578947368421,2023,3446,0.3549122807017544,0.52403646980541,0.8472222222222222,2710,64-36-10,0.05,64-37-10,0.65,7,22,61.79076050000003
svd_crossover_same_dim,6,6,1.0,,False,5700,3234,5805,0.5673684210526316,2096,3545,0.36771929824561406,0.7241943683119849,0.8277777777777777,2485,64-33-10,0.8,64-33-10,0.8,70,71,58.97991490000277
svd_crossover_same_dim,7,7,1.0,,False,5700,3670,6824,0.643859649122807,2180,4039,0.3824561403508772,0.4848738823836914,0.8555555555555555,1885,64-25-10,0.95,64-25-10,0.95,285,295,59.83794439999474
svd_crossover_same_dim,8,8,1.0,,False,5700,3279,6193,0.5752631578947368,1905,3415,0.33421052631578946,0.7347095034506156,0.8361111111111111,1810,64-24-10,0.3,64-23-10,0.7,49,282,57.61063300000387
svd_crossover_same_dim,9,9,1.0,,False,5700,3747,6680,0.6573684210526316,1568,2716,0.2750877192982456,0.4648674839024216,0.8805555555555555,2710,64-36-10,0.7,64-36-10,0.7,48,79,59.75920039999619
svd_crossover_same_dim,10,10,1.0,,False,5700,3182,5773,0.5582456140350878,2076,3572,0.3642105263157895,0.6733662129060963,0.7916666666666666,650,64-10,1.0,64-10,1.0,1,1,57.65110320000531
svd_crossover_same_dim,11,11,1.0,,False,5700,3596,6781,0.6308771929824561,2267,3991,0.39771929824561403,0.3308017197544145,0.9,2410,64-32-10,0.1,64-32-21-10,0.6,262,271,61.31325659999857
svd_crossover_same_dim,12,12,1.0,,False,5700,3755,5395,0.6587719298245615,1563,2571,0.27421052631578946,0.8641358975009199,0.7361111111111112,2335,64-31-10,0.6,64-31-10,0.6,282,300,54.13046900000336
svd_crossover_same_dim,13,13,1.0,,False,5700,3428,5747,0.6014035087719298,1788,2955,0.3136842105263158,0.6136611946560541,0.8361111111111111,2485,64-33-10,0.85,64-33-10,0.85,19,292,57.25285189999704
svd_crossover_same_dim,14,14,1.0,,False,5700,3282,6283,0.5757894736842105,2409,4526,0.4226315789473684,0.6909473510400778,0.8055555555555556,3010,64-40-10,0.2,64-41-10,0.5,299,301,59.58117670000502
