method,run,seed,crossover_rate,crossover_rate_final,allow_shape_mismatch_crossover,crossover_attempts,crossover_shape_match_events,crossover_shape_match_layers,crossover_shape_match_rate,crossover_shape_mismatch_events,crossover_shape_mismatch_layers,crossover_shape_mismatch_rate,final_loss,final_accuracy,final_params,final_topology,final_topology_share,most_common_topology,most_common_topology_share,first_final_topology_generation,first_majority_topology_generation,wall_seconds
no_crossover,0,0,0.0,,False,0,0,0,0.0,0,0,0.0,0.7233835764508983,0.7694444444444445,3210,64-34-22-10,0.05,64-34-10,0.6,66,301,72.7030668999978
no_crossover,1,1,0.0,,False,0,0,0,0.0,0,0,0.0,0.7340980723444783,0.7861111111111111,2335,64-31-10,0.7,64-31-10,0.7,289,299,62.74075710000034
no_crossover,2,2,0.0,,False,0,0,0,0.0,0,0,0.0,0.6049284440610958,0.8333333333333334,1810,64-24-10,0.2,64-24-24-10,0.5,19,23,62.525120899998
no_crossover,3,3,0.0,,False,0,0,0,0.0,0,0,0.0,0.6917471252039463,0.8305555555555556,2929,64-35-14-10,0.3,64-35-15-10,0.35,298,301,71.17235179999989
no_crossover,4,4,0.0,,False,0,0,0,0.0,0,0,0.0,0.6121915659950745,0.8277777777777777,1585,64-21-10,0.4,64-42-21-10,0.45,48,230,62.61973379999836
no_crossover,5,5,0.0,,False,0,0,0,0.0,0,0,0.0,0.6149570719698947,0.8722222222222222,2335,64-31-10,0.2,64-32-21-10,0.25,294,301,58.353037299999414
no_crossover,6,6,0.0,,False,0,0,0,0.0,0,0,0.0,0.6241751528099341,0.8527777777777777,1885,64-25-10,0.15,64-27-10,0.55,292,298,58.18097900000066
no_crossover,7,7,0.0,,False,0,0,0,0.0,0,0,0.0,0.6329711848973922,0.8111111111111111,3327,64-37-19-10,0.1,64-36-10,0.35,277,287,57.55913230000078
no_crossover,8,8,0.0,,False,0,0,0,0.0,0,0,0.0,0.6345158858184203,0.8388888888888889,2710,64-36-10,0.25,64-37-10,0.65,2,301,59.498502800001006
no_crossover,9,9,0.0,,False,0,0,0,0.0,0,0,0.0,0.5545967422547912,0.8555555555555555,1360,64-18-10,0.3,64-19-10,0.5,143,301,58.415433800000756
no_crossover,10,10,0.0,,False,0,0,0,0.0,0,0,0.0,0.6131980264045146,0.8555555555555555,3800,64-42-20-10,0.1,64-42-10,0.2,298,301,56.662760100000014
no_crossover,11,11,0.0,,False,0,0,0,0.0,0,0,0.0,0.5344692604126432,0.9055555555555556,2985,64-34-17-10,0.75,64-34-17-10,0.75,274,283,62.56443539999964
no_crossover,12,12,0.0,,False,0,0,0,0.0,0,0,0.0,0.8937359967133461,0.8,1810,64-24-10,0.15,64-23-10,0.5,93,289,55.944193899998936
no_crossover,13,13,0.0,,False,0,0,0,0.0,0,0,0.0,0.7746438697504847,0.8083333333333333,2560,64-34-10,0.55,64-34-10,0.55,16,81,59.82968760000222
no_crossover,14,14,0.0,,False,0,0,0,0.0,0,0,0.0,0.7744256474211213,0.8305555555555556,2935,64-39-10,0.05,64-40-10,0.7,73,87,54.8286036999998
no_crossover,15,15,0.0,,False,0,0,0,0.0,0,0,0.0,0.6441666806973216,0.8666666666666667,2410,64-32-10,0.15,64-32-20-10,0.45,97,101,56.16779139999926
no_crossover,16,16,0.0,,False,0,0,0,0.0,0,0,0.0,0.864824588719422,0.7777777777777778,2785,64-37-10,0.4,64-37-10,0.4,1,270,59.352738800000225
no_crossover,17,17,0.0,,False,0,0,0,0.0,0,0,0.0,0.58054365771716,0.85,2487,64-27-19-10,0.2,64-27-20-10,0.35,286,301,62.16774400000213
no_crossover,18,18,0.0,,False,0,0,0,0.0,0,0,0.0,0.903574847502228,0.775,3343,64-35-23-10,0.55,64-35-23-10,0.55,279,291,53.6655111
no_crossover,19,19,0.0,,False,0,0,0,0.0,0,0,0.0,0.9645103584085766,0.7305555555555555,650,64-10,0.4,64-22-10,0.45,1,1,53.7096066999984
no_crossover,20,20,0.0,,False,0,0,0,0.0,0,0,0.0,0.7946497074185782,0.7777777777777778,650,64-10,1.0,64-10,1.0,1,1,56.16515269999945
no_crossover,21,21,0.0,,False,0,0,0,0.0,0,0,0.0,0.7139122831566769,0.8472222222222222,1135,64-15-10,0.75,64-15-10,0.75,279,286,55.515966499999195
no_crossover,22,22,0.0,,False,0,0,0,0.0,0,0,0.0,0.5844958875348987,0.8638888888888889,2015,64-21-20-10,0.6,64-21-20-10,0.6,297,299,56.74389910000173
no_crossover,23,23,0.0,,False,0,0,0,0.0,0,0,0.0,0.7847231800213591,0.7611111111111111,650,64-10,1.0,64-10,1.0,1,1,55.883832199997414
no_crossover,24,24,0.0,,False,0,0,0,0.0,0,0,0.0,0.6035312771598881,0.85,1875,64-19-21-10,0.35,64-19-21-10,0.35,280,288,57.33940170000278
no_crossover,25,25,0.0,,False,0,0,0,0.0,0,0,0.0,0.7010278688610113,0.7805555555555556,650,64-10,1.0,64-10,1.0,1,1,54.84824020000087
no_crossover,26,26,0.0,,False,0,0,0,0.0,0,0,0.0,0.573448523833008,0.8805555555555555,3754,64-38-26-10,0.15,64-39-10,0.35,295,301,62.6419599999972
no_crossover,27,27,0.0,,False,0,0,0,0.0,0,0,0.0,0.7417808512294162,0.8,3327,64-37-19-10,0.3,64-38-19-10,0.45,299,301,59.308219599999575
no_crossover,28,28,0.0,,False,0,0,0,0.0,0,0,0.0,0.6042875911569654,0.8416666666666667,2785,64-37-10,0.75,64-37-10,0.75,1,7,59.395205500000884
no_crossover,29,29,0.0,,False,0,0,0,0.0,0,0,0.0,0.7826225707766402,0.825,1885,64-25-10,0.95,64-25-10,0.95,14,274,54.60496449999846
no_crossover,30,30,0.0,,False,0,0,0,0.0,0,0,0.0,0.5746520831081104,0.8694444444444445,2935,64-39-10,0.1,64-38-20-10,0.3,28,301,60.62715819999721
no_crossover,31,31,0.0,,False,0,0,0,0.0,0,0,0.0,0.634065084891132,0.8361111111111111,1960,64-26-10,0.7,64-26-10,0.7,262,295,56.710232699999324
no_crossover,32,32,0.0,,False,0,0,0,0.0,0,0,0.0,0.7448030789240222,0.8222222222222222,2695,64-29-20-10,0.1,64-30-19-10,0.25,295,301,57.70522250000067
no_crossover,33,33,0.0,,False,0,0,0,0.0,0,0,0.0,0.614927954716379,0.8194444444444444,1660,64-22-10,0.95,64-22-10,0.95,54,60,57.7012739999991
no_crossover,34,34,0.0,,False,0,0,0,0.0,0,0,0.0,0.7137858791131921,0.8222222222222222,2410,64-32-10,0.25,64-33-10,0.6,152,301,55.22198320000098
no_crossover,35,35,0.0,,False,0,0,0,0.0,0,0,0.0,0.6473339344106718,0.8305555555555556,2373,64-27-16-10,0.05,64-27-17-10,0.65,296,301,58.55121070000314
no_crossover,36,36,0.0,,False,0,0,0,0.0,0,0,0.0,0.524934179495695,0.8472222222222222,2610,64-28-20-10,0.1,64-28-21-10,0.6,281,301,58.48765900000217
no_crossover,37,37,0.0,,False,0,0,0,0.0,0,0,0.0,0.8532836501060246,0.7694444444444445,2410,64-32-10,0.2,64-33-10,0.6,294,297,54.14416880000135
no_crossover,38,38,0.0,,False,0,0,0,0.0,0,0,0.0,0.664851749649796,0.8027777777777778,1815,64-19-19-10,0.25,64-20-19-10,0.45,296,301,60.76783349999823
no_crossover,39,39,0.0,,False,0,0,0,0.0,0,0,0.0,0.7639403305763439,0.7972222222222223,2185,64-29-10,0.25,64-30-10,0.3,283,296,56.14418499999738
no_crossover,40,40,0.0,,False,0,0,0,0.0,0,0,0.0,0.6479033733641877,0.8194444444444444,3085,64-41-10,0.05,64-42-10,0.85,261,282,59.92252910000025
no_crossover,41,41,0.0,,False,0,0,0,0.0,0,0,0.0,0.7247811596589661,0.8,650,64-10,0.95,64-10,0.95,1,1,54.22545230000105
no_crossover,42,42,0.0,,False,0,0,0,0.0,0,0,0.0,0.5543176916597549,0.8527777777777777,1420,64-14-20-10,0.35,64-14-20-10,0.35,290,296,56.80064709999715
no_crossover,43,43,0.0,,False,0,0,0,0.0,0,0,0.0,0.6039766262128891,0.8305555555555556,1660,64-22-10,0.8,64-22-10,0.8,95,97,56.17049340000085
no_crossover,44,44,0.0,,False,0,0,0,0.0,0,0,0.0,0.5547450791219828,0.8388888888888889,1885,64-25-10,0.9,64-25-10,0.9,154,299,59.63177379999979
no_crossover,45,45,0.0,,False,0,0,0,0.0,0,0,0.0,0.7404768037377819,0.8166666666666667,1735,64-23-10,0.05,64-24-10,0.95,86,108,54.536118899999565
